Signature,Raag,Thaat,Prahar,Aaroha,Avroha,Vadi,Samvadi,Pakad,Jati,AS,AR,AG,AM,AP,AD,AN,VS,VR,VG,VM,VP,VD,VN,coeff,P,V,S,coeff2,BS,BR,BG,BM,BP,BD,BN
209,"Gunakali, Utari",Bhairavi,1 (6am - 9am),"S - r - g - m, - m - P - (n)d - n - S'","S' - n - (n)d -P, d - m - P, (P)g, g - m - r - S",S,P,"d - m, P - d - m - P - (m)g, g - m - r - S",Sampoorna - Sampoorna,H,K,K,H,H,K,K,H,K,K,H,H,K,K,3.2857,1,1,2,1.5,H,K,K,H,H,K,K
45,"Bilawal, Devgiri",Bilawal,1 (6am - 9am),"S - (G)R - (P)G - P, N - D - N - S'","S - N - D - P, (D)P - m - G - R, (R) - 'N - R - 'N, R - G - m - G - (R)G - R - S",S,P,"G - m - G - R, 'N - R - 'N, G - G - R - 'N - S",Shadav - Sampoorna,H,H,H,A,H,H,H,H,H,H,H,H,H,H,3.3846,1,1,2,1.5,H,H,H,H,H,H,H
474,Patmanjiri (Bilawal Thaat Ki),Bilawal,1 (6am - 9am),S - R - G - m - P - D - S',S' - N - D - P - m - G - R - S,S,P,"S - S - R - R - S, 'N - 'D - 'N - P, (G)R - (G)R - G - m - R - R - S, G - m - R - G - m - P - m - G - R - G - m - R - S",Shadav - Sampoorna,H,H,H,H,H,H,A,H,H,H,H,H,H,H,3.0769,1,1,2,1.5,H,H,H,H,H,H,H
526,Gunakali (Madhyam Varjit),Bilawal,1 (6am - 9am),S - G - P - D - S',S' - N - D - P - GP - R - S,S,P,G - R - S - 'N - 'D - 'P - S | G - P - ND - S' - ND - PP - GP - R - S,Audav - Shadav,H,A,H,A,H,H,A,H,H,H,A,H,H,H,3.1,1,1,2,1.5,H,H,H,A,H,H,H
47,"Bilawal, Kukubh",Khamaaj,1 (6am - 9am),S - R - G - P - (N)D - N - S',"S' - N - D - n - D - P, m - G - (M)R - S - S - R - S",S,P,"G - R - G - P - m - G - m - R, S - S - R",Shadav - Sampoorna,H,H,H,A,H,H,H,H,H,H,B,H,H,B,3.7333,1,1,2,1.5,H,H,H,B,H,H,B
48,"Bilawal, Sarparda",Khamaaj,1 (6am - 9am),"S - (G)R - G, G - R - G - m, P - (n)D - N - S'","S' - N - D - P, D - n - D - P - m, G - R, G - (m)R - S",S,P,"D - n - D - P - m, G - R, G - R - S",Sampoorna - Sampoorna,H,H,H,H,H,H,B,H,H,H,H,H,H,B,3.5,1,1,2,1.5,H,H,H,H,H,H,B
345,Lalit Mangal,Poorvi,1 (6am - 9am),S - m - P - D - N - S',r' - N - d - P - M - G - r - S,S,P,,Audav - Sampoorna,H,A,A,H,H,H,H,H,K,H,T,H,K,H,3.5833,1,1,2,1.5,H,K,H,B,H,B,H
23,Bhairav,Bhairav,1 (6am - 9am),S - r - G - m - P - d - N - S',S' - N - d - P - m - G - r - S,d,r,"Gm d - dP, m Gm r - S",Sampoorna - Sampoorna,H,K,H,H,H,K,H,H,K,H,H,H,K,H,3.2857,1,3,6,4.5,H,K,H,H,H,K,H
39,Bibhas (Bhairav Ang),Bhairav,1 (6am - 9am),S - r - G - P - d - S',S' - d - P - G - r - S,d,r,GPd GP - GrS,Audav - Audav,H,K,H,A,H,K,A,H,K,H,A,H,K,A,3,1,3,6,4.5,H,K,H,A,H,K,A
70,Gunakari,Bhairav,1 (6am - 9am),S - r - m - P - d - S',S' - (N)d - P - m - (G)r - S,d,r,r - m - P - d - d - P - m - r - r - 'd - S,Audav - Audav,H,K,A,H,H,K,A,H,K,H,H,H,K,H,3.0833,1,3,6,4.5,H,K,H,H,H,K,H
207,"Bhairav, Bangal",Bhairav,1 (6am - 9am),"S - r, G - m - P - d, S'","S' - d - P - m - P - G - m, r - S",d,r,"S - 'd - S, S - r, d - d - P - G - m - r - S",Shadav - Shadav,H,K,H,H,H,K,A,H,K,H,H,H,K,A,2.8333,1,3,6,4.5,H,K,H,H,H,K,A
372,Gandhakriya,Bhairav,1 (6am - 9am),S - r - G - r - m - P - N - d - N - S',S' - N - d - P - m - G - r - S,D,R,G r m P N d S',Sampoorna - Sampoorna,H,K,H,H,H,K,H,H,K,H,H,H,K,H,3.2857,1,4,5,4.5,H,K,H,H,H,K,H
302,"Manjiri, Hauns",Kafi,1 (6am - 9am),"S, R - m - P - D, n - S'","S' - D - P, m - P - D - P - m, R - 'n - S",P,R,,Shadav - Shadav,H,H,A,H,H,H,K,H,H,A,H,H,H,K,3.1667,1,2,5,3.5,H,H,A,H,H,H,K
494,Bagkauns,Asavari,1 (6am - 9am),S - g - m - D - n - S',"S - n - D, m, P - d - n - d - m - g - S, R - 'n - S",m,S,"D - n - D/m, P d - n - d, m - g - S",Audav - Sampoorna,H,A,K,H,A,H,K,H,H,K,H,H,B,K,3.2308,1,2,1,1.5,H,H,K,H,H,B,K
24,"Bhairav, Ahir",Bhairav,1 (6am - 9am),S - r - G - m - P - D - n - S',S' - n - D - P - m - G - r - S,m,S,"S 'D'n r - S, GmPDn DP mG mr - S",Sampoorna - Sampoorna,H,K,H,H,H,H,K,H,K,H,H,H,H,K,3.2857,1,2,1,1.5,H,K,H,H,H,H,K
27,"Bhairav, Kaushi",Bhairav,1 (6am - 9am),S - m - G - m - P - m - m - (N)d - (N)d - S',S' - R' - n - D - P - m - (G)m - G - m - P - r - S - (r)'d - (S)'n - S - m,m,S,d'nSm - Gmd NS' R'nDmP GmrS,Shadav - Sampoorna,H,A,H,H,H,K,H,H,B,H,H,H,B,K,3.2,1,2,1,1.5,H,B,H,H,H,B,B
29,"Bhairav, Prabhaat / Prabhaati",Bhairav,1 (6am - 9am),"S - r - G - m - M - G, G - m - P - d - N - S'","S' - N - d - P - m, m - d - M - m - G, r - G - m - Gm - r - S",m,S,"G - m - (N)d - (N)d - P - G - m, M - d - M - m - G - m",Sampoorna - Sampoorna,H,K,H,B,H,K,H,H,K,H,B,H,K,H,3.75,1,2,1,1.5,H,K,H,B,H,K,H
31,"Bhairav, Sourashtra",Bhairav,1 (6am - 9am),S - 'N - S - m - G - D - N - S,S - d - d - P - G - m - P - G - M - r - S,m,S,m - D - N - S' - S' - N - d - m,Audav - Sampoorna,H,A,H,H,A,H,H,H,K,H,B,H,K,A,3.3333,1,2,1,1.5,H,K,H,B,H,B,H
60,"Ranjani, Dev",Bhairav,1 (6am - 9am),"S - m, m - P - (n)d - N - S'","S' - N - d - (n)dP - d - m, m - S",m,S,"Sm - mP, dNS' dP m-S",Audav - Audav,H,A,A,H,H,K,B,H,A,A,H,H,K,B,3.1667,1,2,1,1.5,H,A,A,H,H,K,B
84,Jogiya,Bhairav,1 (6am - 9am),S - r - m - P - d - S',S' - N - d - P - (n)d - m - G - r - S,m,S,m - P - d - r' - S' - Nd - P - mG - r - S,Audav - Sampoorna,H,K,A,H,H,K,A,H,K,H,H,H,K,B,3.2308,1,2,1,1.5,H,K,H,H,H,K,B
206,"Bhairav, Kabir",Bhairav,1 (6am - 9am),"S - r - G - m, P - d - N - S'","S', r' - n - d - P - m - G - m - (r)G, m - r - S",m,S,"m, d - n - d - P - m, r' - n - d - P - P - d - d - P - m",Sampoorna - Sampoorna,H,K,H,H,H,K,H,H,K,H,H,H,K,K,3.2143,1,2,1,1.5,H,K,H,H,H,K,B
258,"Bhairav, Hijaj",Bhairav,1 (6am - 9am),S - R - G - m - P - d - n - S',S' - n - d - P - m - G - m - P - r - S',m,S,R G m P - G m d P - m R S,Sampoorna - Sampoorna,H,H,H,H,H,K,K,H,K,H,H,H,K,K,3.0714,1,2,1,1.5,H,B,H,H,H,K,K
263,Araj,Bhairav,1 (6am - 9am),S - r - G - m - P - D - n - S',S - N - D - P - M - P - D - n - D - P - m - G - r - S,m,S,S-D (m)G P - MPDnDP DnS'- Nr'S' NDP MPDnDP m GrS,Sampoorna - Sampoorna,H,K,H,H,H,H,K,H,K,H,B,H,H,B,3.6875,1,2,1,1.5,H,K,H,B,H,H,B
301,Sourashtra Tank,Bhairav,1 (6am - 9am),"S - r, G - m, P - m, D - S'","S' - N - D - m, N - d - P, m - G - r - S",m,S,,Shadav - Sampoorna,H,K,H,H,H,H,A,H,K,H,H,H,B,H,3.2143,1,2,1,1.5,H,K,H,H,H,B,H
361,"Bhairav, Udasi",Bhairav,1 (6am - 9am),S - r - G - m - M - n - S',S' - n - M - m - G - r - S,m,S,,Audav - Audav,H,K,H,B,A,A,K,H,K,H,B,A,A,K,4,1,2,1,1.5,H,K,H,B,A,A,K
466,"Ranjani, Mano / Manoranjani",Bhairav,1 (6am - 9am),S - r - m - P - D - S',S' - D - P - m - r - S,m,S,mPDP m r - mr - 'D S,Audav - Audav,H,K,A,H,H,H,A,H,K,A,H,H,H,A,3,1,2,1,1.5,H,K,A,H,H,H,A
509,"Bhairav, Bhatiyari",Bhairav,1 (6am - 9am),"S - r - G - m - P - D - N - P, M - D - S'",S' - N - D - P - G - m - r - S,m,S,"G - m - P - D - N - P, D - m, m - D - P, G - m - P - m - r - r - S",Sampoorna - Sampoorna,H,K,H,B,H,H,H,H,K,H,H,H,H,H,3.6667,1,2,1,1.5,H,K,H,B,H,H,H
573,Gaul,Bhairav,1 (6am - 9am),S - r - m - P - N - S',S' - N - P - m - r - S,m,S,Sm - mPm - PNP m - r S,Audav - Audav,H,K,A,H,H,A,H,H,K,A,H,H,A,H,3.4,1,2,1,1.5,H,K,A,H,H,A,H
4,Ahiri / Ahiri Todi,Bhairavi,1 (6am - 9am),S - r - g - m - P - D - n - S',S' - n - D - P - m - g - r - S,m,S,P - D - n - D - m - g - r - g - r - S,Sampoorna - Sampoorna,H,K,K,H,H,H,K,H,K,K,H,H,H,K,3.4286,1,2,1,1.5,H,K,K,H,H,H,K
15,"Bahar, Bhairav",Bhairavi,1 (6am - 9am),"S - r - G - m - P - m, m - D - n - S' - N - r' - S'","S' - n - D - P - m - G - R, g - r - S - 'N - r - S, 'N - D - S",m,S,"D - n - D - P - m - G - R, g - r - S",Sampoorna - Sampoorna,H,K,H,H,H,H,B,H,B,B,H,H,H,B,3.7222,1,2,1,1.5,H,B,B,H,H,H,B
247,Malani,Bhairavi,1 (6am - 9am),S - r - g - m - P - S',S' - n - d - m - g - r - S,m,S,,Audav - Shadav,H,K,K,H,H,A,A,H,K,K,H,A,K,K,3.2727,1,2,1,1.5,H,K,K,H,H,K,K
373,"Basant, Gambhir",Bhairavi,1 (6am - 9am),"S - m - g - M - r - g - m - P, n - D - n - P - S'",S' - d - P - m - R - S,m,S,,Sampoorna - Audav,H,K,K,B,H,H,K,H,H,A,H,H,K,A,3.3846,1,2,1,1.5,H,B,K,B,H,B,K
204,"Sakh, Lachchha",Bilawal,1 (6am - 9am),"S - G - R - G - P - m, P - (N)D - N - S'","S' - D - n - P - m, G - P - m - G - R - S",m,S,"P, m - G, m, m - n - D - P, m - G - m - R - S",Shaadav - Sampoorna,H,H,H,H,H,H,H,H,H,H,H,H,H,K,3.2143,1,2,1,1.5,H,H,H,H,H,H,B
205,"Sakh, Bhav",Bilawal,1 (6am - 9am),"S, m - m, D - P - D, S', N - R' - S'","S' - N - D - N - D - P, G - R, 'N - R - S",m,S,"N - D - P - m, G - R, 'N - R - S, m - m",Audav - Sampoorna,H,H,A,H,H,H,H,H,H,H,A,H,H,H,3.4167,1,2,1,1.5,H,H,H,H,H,H,H
285,Ras Chandra,Bilawal,1 (6am - 9am),"S - R - S, G - m - M, M - D - M - S'","R' - S', D - M - m, G - m - R - S",m,S,,Audav - Audav,H,H,H,B,A,H,A,H,H,H,B,A,H,A,3.6667,1,2,1,1.5,H,H,H,B,A,H,A
49,"Bilawal, Shukla",Khamaaj,1 (6am - 9am),"S - G - m, P - G - m - P - D - N - S'","S' - n - D - P - D - M, (P)G, R - S",m,S,"m - P - D - n - G - m, G - R - S",Shadav - Sampoorna,H,A,H,H,H,H,H,H,H,H,T,H,H,K,3.4615,1,2,1,1.5,H,H,H,B,H,H,B
229,Lalit Pancham,Marwa,1 (6am - 9am),"N - r - G - m, M - G, M - D - N - S'","S' - N - D, N - D - P, D - M - d - M - m - G, M - G - r - S",m,S,"M - D - N, D - P, D - M - m - G, M - G, r - S",Shadav - Sampoorna,H,K,H,B,A,H,H,H,K,H,B,H,B,H,3.9375,1,2,1,1.5,H,K,H,B,H,B,H
211,"Todi, Laxmi",Todi,1 (6am - 9am),"S - 'n - 'P, S, S - R - G - m, m - g - P, (n)d - (n)d - (n) P, (n)d - (n)d - S'","S' - n - S' - r' - S', n - d - P - d - g, m - g - r - S",m,S,"S, P - P - (m)g - m, m - P (n)d - (n)d - d - S",Sampoorna - Sampoorna,H,H,B,H,H,K,K,H,K,K,H,H,K,K,3.2,1,2,1,1.5,H,B,B,H,H,K,K
25,"Bhairav, Anand",,1 (6am - 9am),"S - r - G - m - P - m, P - D - N - S'",S' - D - n - P - m - G - m - r - S,m,S,"r - G - m, P - S' - D - n - P - m - G - m - r",Audav - Sampoorna,H,K,H,H,H,H,H,H,K,H,H,H,H,K,3.3571,1,2,1,1.5,H,K,H,H,H,H,B
446,Parameshwari,,1 (6am - 9am),S - r - g - m - D - n - S',S' - n - D - m - g - r - S,m,S,"S - r - 'n - S - r - g - m - g - r - g - r - g - r - S, g - m - D - n - D - m - g - r - g - r - S",Shadav - Shadav,H,K,K,H,A,H,K,H,K,K,H,A,H,K,3.6667,1,2,1,1.5,H,K,K,H,A,H,K
450,Suranjani,,1 (6am - 9am),S - r - G - m - P - G - m - D - N - S',S' - N - D - P - m - G - r - S,m,S,S - rGmP - GmD - NDP - Gmr - S,Sampoorna - Sampoorna,H,K,H,H,H,H,H,H,K,H,H,H,H,H,3.4286,1,2,1,1.5,H,K,H,H,H,H,H
555,Ahir Lalat / Ahir Lalit,,1 (6am - 9am),S - r - G - m - M - G - m - D - n - S',S' - n - D - M - m - G - M - G - r - S,m,S,GmMmG - MGrS 'n'D 'nrS,Shadav - Shadav,H,K,H,B,A,H,K,H,K,H,B,A,H,K,4,1,2,1,1.5,H,K,H,B,A,H,K
208,Shobhavari,Asavari,1 (6am - 9am),"S - (m)R - m - P - d - P, m - P - (n)d - (n)d - S'","S' - (n)d - P, d - m - P, (m)r - (m)r - S",P,S,"m - P - d - m - P, (m)R - m - P, (m)R - (m)R - S",Audav - Audav,H,H,A,H,H,K,K,H,K,A,H,H,K,K,3.0833,1,2,1,1.5,H,B,A,H,H,K,K
28,"Bhairav, Nat",Bhairav,1 (6am - 9am),S - R - G - m - P - d - N - S',S' - N - d - P - m - G - R - S,P,S,"S - R - G - m - d - P, G - m - R - S, R - 'N - 'd - S",Sampoorna - Sampoorna,H,H,H,H,H,K,H,H,H,H,H,H,K,H,3.1429,1,2,1,1.5,H,H,H,H,H,K,H
158,Ramkali,Bhairav,1 (6am - 9am),"S - r - G - m - P, G - m - d - N - S'","S' - N - d - P - M - P, d - (n)d - P, G - m - r - S",P,S,MPdn dP - Gmr S - GmP - MP,Sampoorna - Sampoorna,H,K,H,H,H,K,H,H,K,H,B,H,K,B,3.625,1,2,1,1.5,H,K,H,B,H,K,B
230,"Bhairav, Mangal",Bhairav,1 (6am - 9am),S - r - m - P - D - S',"S' - D - P - m - (G)r, S - r - G - r - S, (S)'D - 'D - S",P,S,"m - P - D - P, m - (G)r, S - r - S, (S)'D - 'D - S",Audav - Shadav,H,K,A,H,H,H,A,H,K,H,H,H,H,A,3,1,2,1,1.5,H,K,H,H,H,H,A
257,"Bhairav, Saveri / Saveri",Bhairav,1 (6am - 9am),S - r - m - P - d - S',S' - N - d - P - m - G - r - S,P,S,r - m - P - d - S' - N - d - P - G - m - r - S,Audav - Sampoorna,H,K,A,H,H,K,A,H,K,H,H,H,K,H,3.0833,1,2,1,1.5,H,K,H,H,H,K,H
260,Prabhavati,Bhairav,1 (6am - 9am),S - r - G - P - d - N - S',S' - N - d - P - G - r - S,P,S,,Shadav - Shadav,H,K,H,A,H,K,H,H,K,H,A,H,K,H,3.5,1,2,1,1.5,H,K,H,A,H,K,H
542,"Bhairav, Nand or Anand Bhairav (as in Agra Gharana)",Bhairav,1 (6am - 9am),S - r - G - m - P - D - N - S',"S' - N - D - P, PDN P - d m - P G - m - r - S",P,S,GmPDNP dm PGm rS,Sampoorna - Sampoorna,H,K,H,H,H,H,H,H,K,H,H,H,B,H,3.4,1,2,1,1.5,H,K,H,H,H,B,H
543,"Bhairav, Anand (Sende Khan Tradition)",Bhairav,1 (6am - 9am),S - G - R - G - P - G m - D - N - S',S' - N - d - P - m - G - S - S,P,S,GRGP - GmDNS' - dP Gm rS,Mishra/Sankeerna,H,H,H,H,H,H,H,H,A,H,H,H,K,H,3.0769,1,2,1,1.5,H,H,H,H,H,B,H
30,"Bhairav, Shivmat",Bhairavi,1 (6am - 9am),"S - r - S, G - m - P, (N)d - (N)d - S'","S' - n - d - P - m - g - m - P, m - G - m - (G)r, g - r - S",P,S,"g - m - P, d - d - S', r' - n - d - P, d - n - d - P - m",Sampoorna - Sampoorna,H,K,H,H,H,K,H,H,K,B,H,H,K,K,3.2667,1,2,1,1.5,H,K,B,H,H,K,B
32,Bhairavi,Bhairavi,1 (6am - 9am),S - r - g - m - P - d - n - S',S' - n - d - P - m - g - r - S,P,S,nS gm dP - gmP gm rS,Sampoorna - Sampoorna,H,K,K,H,H,K,K,H,K,K,H,H,K,K,3.2857,1,2,1,1.5,H,K,K,H,H,K,K
179,"Todi, Jaiwanti",Bhairavi,1 (6am - 9am),S - r - m - P - D - n - S',S' - n - D - P - m - g - r - S,P,S,"S - r - m - P, n - D - P, D - m, P - g, m - r, g - r - S",Shadav - Sampoorna,H,K,A,H,H,H,K,H,K,K,H,H,H,K,3.3846,1,2,1,1.5,H,K,K,H,H,H,K
384,"Todi, Bairagi",Bhairavi,1 (6am - 9am),S - r - g - P - n - S',S' - n - P - g - r - S,P,S,"S - r - g - P, P - g - r - g - r - S",Audav - Audav,H,K,K,A,H,A,K,H,K,K,A,H,A,K,3.6,1,2,1,1.5,H,K,K,A,H,A,K
459,"Bilawal, Hameer",Bilawal,1 (6am - 9am),S - R - G - M - R - G - P - D - N - S',"S' - N - D - N - P, G - m - D - P - M - P - G - m - R - S",P,S,"G - P - D - N - S', N - D - P, M - P - G - m, N - D - D - P - G - m - R - S",Vakra,H,H,H,T,H,H,H,H,H,H,B,H,H,H,3.8667,1,2,1,1.5,H,H,H,B,H,H,H
475,"Bilawal, Bangal",Bilawal,1 (6am - 9am),S - R - G - m - PDPP - (N)S',S' - P - mG - mR - S - 'D'n 'P - R Gm GRS 'N'D'NS,P,S,GRGPS'/P - DP m Gm RS S 'D'n 'P (G)R - Gm RS,Shadav - Sampoorna,H,H,H,H,H,H,H,H,H,H,H,H,H,B,3.4,1,2,1,1.5,H,H,H,H,H,H,B
203,"Malhar, Des",Kafi,1 (6am - 9am),S - R - m - P - N - S',S' - D - n - P - m - P - (m)g - (m)g - m - R - S,P,S,,Audav - Sampoorna,H,H,A,H,H,A,H,H,H,K,H,H,H,K,3.25,1,2,1,1.5,H,H,K,H,H,H,B
286,Revati,Kafi,1 (6am - 9am),"S, R - m - P, D - m - P, S'","S' - D - n - P, m - P, m - g - m - R - S",P,S,,Audav - Sampoorna,H,H,A,H,H,H,A,H,H,K,H,H,H,K,3.0833,1,2,1,1.5,H,H,K,H,H,H,K
535,"Kalyan, Kohari",Kalyan,1 (6am - 9am),S - R - G - P - D - S',S' - n - D - P - G - P - (G) R - S,P,S,PDnDP - GRGP (G)R S,Audav - Shadav,H,H,H,A,H,H,A,H,H,H,A,H,H,K,3.1818,1,2,1,1.5,H,H,H,A,H,H,K
305,"Todi, Asa",Todi,1 (6am - 9am),S - r - m - P - d - S',S' - n - d - m - r - g - r - S,P,S,,Audav - Shadav,H,K,A,H,H,K,A,H,K,K,H,A,K,K,3.1818,1,2,1,1.5,H,K,K,H,H,K,K
355,Anand Leela,,1 (6am - 9am),S - R - G - m - P - N - S',S' - N - d - P - m - G - R - S,P,S,G - R - G - m - P - N - d - P,Shadav - Sampoorna,H,H,H,H,H,A,H,H,H,H,H,H,K,H,3.1538,1,2,1,1.5,H,H,H,H,H,K,H
